name,if,else,loop,add,sub,mul,div,and,or,not,bigger,smaller,equal,dot,long,double,int,char,unsigned,void,str,num
00980695cf6d43c3,3,1,4,8,2,2,0,0,0,3,0,0,15,0,0,0,6,1,0,0,6,6
00a7a1f7dcc0431b,10,10,4,10,1,2,1,0,0,0,9,4,30,11,0,4,4,0,0,0,13,57
00a89fba17074615,5,2,4,14,0,2,1,3,0,6,1,4,15,0,0,1,6,1,0,0,19,13
00c5fc1dc8e248ed,2,1,6,10,8,1,0,0,0,0,4,7,22,0,0,0,5,1,0,0,0,23
00d8e30b084f436a,1,0,5,16,4,0,0,3,0,0,4,5,17,0,0,0,8,0,0,0,11,10
00df7d3fd6644624,1,1,0,4,0,4,5,0,0,0,0,0,9,0,0,0,6,0,0,0,5,47
00e0d7a5584a4231,2,0,1,1,4,0,0,0,1,0,1,1,4,0,0,0,7,0,0,0,9,0
00e4711694c34a99,4,3,1,4,2,0,0,0,1,1,1,2,11,0,0,0,7,0,0,0,11,1
0104233f310b4578,5,2,3,16,0,1,1,6,1,10,1,1,20,1,0,2,0,7,0,0,25,9
0110ec15ff554984,3,0,2,8,0,0,0,2,1,4,1,1,18,0,0,0,7,4,0,0,12,12
0118f3aebf4f4e80,3,0,5,9,1,1,0,0,0,0,0,4,16,0,2,5,10,1,0,0,4,10
0127a3a4bc9048aa,1,0,4,12,4,0,0,3,4,0,12,14,10,0,0,0,5,0,0,0,1,4
01296089a83644d8,3,0,4,9,3,0,2,2,1,0,4,7,20,0,0,0,5,0,0,0,0,7
012afef40c8b406c,1,0,3,8,2,2,0,0,1,0,2,6,9,0,0,0,5,0,0,0,0,4
0130d7e320ad4710,3,0,2,11,0,0,0,0,0,1,1,2,14,0,0,0,5,4,0,0,5,13
01452b78a7044278,0,0,0,0,5,5,5,0,0,0,0,0,11,0,0,0,2,0,0,0,14,20
01457ba327444bb1,1,1,2,3,0,3,3,0,0,0,0,0,8,0,0,0,3,0,0,0,24,7
014f2b8a3aac4e5a,1,0,5,14,4,0,0,3,0,0,10,13,19,0,0,0,8,0,0,0,1,6
0157450b26d24411,4,3,1,4,0,1,1,6,1,9,1,1,17,1,0,2,4,1,0,0,31,7
0160587211b14d97,0,0,1,2,1,2,2,0,0,0,1,0,4,0,0,0,7,0,0,2,10,9
0165f701dc9e4b14,3,1,2,4,0,0,0,5,5,2,7,19,25,2,0,0,7,1,0,0,6,18
01794f55d0ea49c2,3,2,3,11,0,0,0,3,0,0,2,6,13,0,0,0,7,0,0,0,10,18
01798cc0d64b432c,0,0,2,2,5,0,0,1,0,2,1,0,5,0,0,0,0,2,0,0,4,2
017b0681913a45a9,1,0,0,4,0,5,0,0,0,0,0,0,5,0,0,0,2,9,0,0,0,9
0181986aaf634189,6,0,6,6,6,0,0,0,0,0,12,0,30,0,0,0,7,0,0,0,14,30
01916783993d46bd,3,0,6,12,4,1,0,2,0,0,0,8,23,0,0,0,9,0,0,0,6,8
01954c3bf1184a2f,9,9,2,6,0,1,1,0,0,0,0,11,28,10,0,6,3,0,0,0,12,50
0196d71859d2412c,0,0,3,6,1,0,0,0,0,0,3,6,6,0,0,0,4,0,0,0,0,14
019bb44651164761,3,2,5,10,0,1,0,1,0,1,0,7,11,0,0,0,11,1,0,0,16,10
01a1c3bf683d43fd,0,0,1,2,0,2,4,0,0,0,1,0,7,0,5,0,0,0,0,0,6,10
01abcc37b17840e0,5,0,5,14,6,0,0,2,0,0,4,7,21,0,0,0,4,2,0,0,28,7
01ae646fb3a34118,2,0,5,12,3,0,0,0,0,0,0,5,16,0,0,0,6,0,0,0,6,9
01b18cca888f416e,1,1,1,3,0,3,3,0,0,1,0,0,5,0,0,0,1,0,0,0,21,7
01be417aace44cf9,1,1,5,10,0,0,0,3,0,0,2,7,12,0,0,0,11,0,0,2,17,26
01ce477b35784de2,9,2,6,10,8,0,0,4,1,3,4,16,36,0,0,0,9,1,0,0,8,10
01d1575fcafb44ce,2,2,5,10,0,0,0,3,0,0,2,7,12,0,0,0,13,0,0,0,16,13
01dd75f9574a434a,3,3,1,4,3,0,0,0,0,0,7,6,4,0,0,0,8,0,0,0,0,0
01ddb0ef957747e6,6,0,1,6,0,0,0,6,4,0,1,2,31,0,0,0,6,0,0,0,11,4
01e1fb5453854ab6,5,3,5,18,0,0,0,0,0,0,1,6,28,0,0,0,10,1,0,0,4,7
01f0754758084a29,1,0,5,15,7,3,1,0,0,0,1,5,11,11,0,4,7,0,0,0,14,2
01f7327f12e34935,2,1,4,13,2,2,0,0,1,2,0,3,18,0,0,0,7,0,0,0,6,14
02010cc4a8af496b,10,9,2,6,0,1,1,9,0,0,9,12,35,13,0,4,4,0,0,0,11,82
0214ca3f394a4e4f,9,0,3,7,0,1,1,0,0,0,9,2,17,10,0,2,7,0,0,0,10,44
022232e5a5054e09,9,4,6,26,21,0,0,0,0,1,4,10,24,0,0,0,6,0,0,0,12,5
0228a460d8cb4e26,6,1,6,14,0,0,0,1,0,2,0,8,24,0,0,0,6,3,0,0,12,30
022e4aec15674945,4,4,1,14,24,24,8,0,0,4,0,1,19,0,0,0,4,0,0,0,4,182
02356a18de784fa2,4,0,6,17,2,2,0,0,1,0,0,6,24,0,0,0,8,0,0,0,4,14
023f01354b344131,1,0,4,12,5,2,0,0,0,0,1,4,10,1,0,8,7,0,0,0,14,9
02448c24a932445c,1,1,0,2,0,0,1,0,0,1,0,0,2,0,0,0,4,0,0,2,2,6
0245dfe332ed49b3,3,1,5,12,1,1,0,0,0,0,4,7,14,0,0,0,7,0,0,0,0,7
024ac13aeffe456a,4,1,2,9,0,0,0,1,1,2,1,5,21,0,0,0,9,2,0,0,6,12
0250c4f3fd3f4331,4,1,5,21,3,0,0,1,0,4,1,3,22,0,0,0,7,3,0,0,7,17
025768639e4c453d,3,3,2,5,3,0,0,0,0,0,0,3,10,0,0,0,8,0,0,0,9,4
025d315e9e90486d,3,0,5,9,5,1,0,0,0,0,5,7,15,0,0,0,4,0,0,0,0,18
025fb6f1955a4024,6,6,0,0,6,1,1,1,0,0,8,49,13,0,0,0,2,0,0,0,0,30
0271b7b964034d68,4,3,2,16,2,9,0,6,0,0,5,6,19,0,0,0,6,0,0,0,14,18
0272134285594a17,2,0,6,8,10,1,0,3,0,3,2,4,21,0,0,0,10,0,0,0,6,6
0282094064044f8a,7,4,3,9,15,0,0,3,0,0,3,6,30,0,0,0,13,5,0,0,11,13
02847ee83f754960,2,0,4,10,2,12,0,0,0,0,2,4,14,1,0,5,4,0,0,0,14,3
02860b4b37074b02,3,0,4,14,0,0,0,0,0,5,6,4,23,0,0,0,9,3,0,0,0,9
028dd883e23840f0,4,0,1,3,2,0,0,0,0,0,1,2,9,0,0,0,8,0,0,0,9,0
029054b13dd341dd,17,8,6,24,16,0,0,15,0,0,30,78,46,0,0,0,9,0,0,0,9,4
0290b1cd59414d37,3,0,5,10,5,0,0,2,0,2,2,4,20,0,0,0,7,0,0,0,6,8
029b318590ff4132,3,1,3,11,3,1,0,3,0,0,9,7,14,0,0,0,12,0,0,1,0,21
02a0857b2a5e41e9,0,0,0,0,5,5,5,0,0,0,0,0,6,0,0,0,7,0,0,0,14,44
02aa0e6caa544c72,9,3,6,8,15,0,0,2,1,4,4,13,36,0,0,0,6,1,0,0,11,3
02ad3c56ff404264,4,0,6,14,8,7,0,0,0,0,6,6,25,0,0,0,9,0,0,0,0,8
02b0f2112e234f60,4,0,2,11,0,0,0,0,1,2,1,2,16,0,0,0,5,2,0,0,6,9
02b84e76e3b24975,4,2,5,9,2,0,0,0,0,1,1,3,18,0,0,0,5,1,0,0,13,6
