name,if,else,loop,add,sub,mul,div,and,or,not,bigger,smaller,equal,dot,long,double,int,char,unsigned,void,str,num
5c54b0e0bd8c4509,2,1,1,5,2,0,0,0,0,0,0,0,7,0,0,0,2,2,0,0,6,7
db7860da30184d8f,2,1,3,8,2,2,0,1,0,0,8,7,11,0,0,0,7,0,0,0,0,14
d270f5cebb93461c,2,1,5,7,6,2,2,0,0,0,1,4,17,0,0,0,7,0,0,0,4,15
9549d4f7a8e34e55,3,0,1,0,12,0,0,4,0,0,5,12,18,0,0,0,2,1,0,0,7,9
5e970a85d9454a32,3,2,4,10,4,3,2,2,0,1,2,18,20,0,0,0,7,1,0,0,0,24
b6104da365b9464f,2,2,1,5,2,0,0,1,1,1,6,5,15,0,0,0,7,0,0,0,0,59
05e0eaf14f64419d,3,0,5,5,6,0,0,3,0,3,6,2,26,18,0,0,18,0,0,0,20,6
1108b546181841f2,0,0,2,10,0,0,0,0,0,0,6,8,2,0,0,0,5,0,0,3,0,5
21f2bf3213da44dc,2,0,4,11,4,1,0,0,0,1,0,4,19,0,0,0,6,1,0,0,4,6
1986f6eb79b84743,4,0,6,15,6,0,1,0,0,0,2,7,20,0,0,0,7,0,0,0,9,6
3d92d1558a54496d,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,4,0,0,20,13
46e149e29f644688,5,0,5,13,2,1,0,2,3,1,2,13,30,0,0,0,5,1,0,0,4,8
200802afcb634cae,2,0,4,10,1,0,0,0,0,0,1,4,17,0,0,0,12,0,0,0,9,5
7f480b20024749a3,3,2,1,4,5,0,0,0,0,0,0,1,11,0,0,0,3,6,0,2,13,17
8ab6a1441f314888,2,0,1,7,0,11,0,5,1,0,4,5,9,0,0,0,2,2,0,0,4,10
5468ce1bf0cf4592,8,0,7,22,4,0,0,0,0,0,0,8,28,4,0,0,6,1,0,0,20,6
6368840540674c02,2,0,3,7,2,1,1,0,0,0,5,6,11,0,0,0,10,0,0,0,0,0
b2de19dd0a454dd1,1,1,0,3,10,17,2,0,0,0,0,1,3,2,0,0,0,0,0,0,26,14
3adca6b21fa140a0,4,3,2,4,0,1,0,4,5,0,5,7,12,0,0,0,6,2,0,0,9,26
7472c37d65d547ef,2,0,5,15,5,0,1,0,0,0,5,13,16,0,0,5,4,0,0,0,1,6
3e60ae3e1b264a7a,3,0,5,12,0,0,0,0,0,2,2,4,23,0,0,0,25,1,0,1,12,5
0ce05655a3fd42c8,4,4,4,16,5,0,0,4,4,4,12,6,46,0,0,0,11,0,0,0,0,78
639884ffc1e74a61,7,7,0,0,0,0,0,14,0,9,0,0,36,0,0,0,6,0,0,0,3,15
ddd2bcd46bbd4944,1,1,0,3,5,11,2,0,0,0,1,0,4,2,0,8,0,0,0,0,31,10
b5e8d07139124556,5,1,6,19,3,1,0,2,0,3,2,6,33,0,0,0,11,1,0,0,5,14
b06e88d8379d4275,2,2,4,12,2,0,1,0,0,0,0,4,14,1,0,0,4,0,0,0,8,14
db4236da09834084,4,0,2,11,3,3,3,0,0,0,1,2,17,0,0,0,4,1,0,0,13,33
bac16d5e39a746ee,5,0,6,13,0,0,0,5,0,3,3,8,22,35,0,0,18,0,0,0,20,6
ff4d223c97764789,7,0,11,32,4,5,0,0,0,0,6,13,45,5,0,0,6,1,0,0,16,6
e5a6f802f5e64568,4,4,1,3,0,0,1,0,0,0,4,1,6,0,0,0,4,0,0,0,6,22
f459f7e5264949de,2,2,3,7,3,1,0,0,0,0,0,3,10,0,0,0,6,1,0,0,6,7
dc758c5a796e4ae7,4,3,2,14,2,0,0,1,1,1,0,2,23,0,0,0,24,0,0,0,14,68
eb6ba2530ff747b9,28,4,2,122,7,2,0,6,4,4,2,2,115,0,0,0,14,0,0,0,14,328
fab649b95981453c,1,1,3,7,2,0,0,0,1,0,0,3,13,0,0,0,7,0,0,0,6,11
